"What is R Markdown?"; https://rmarkdown.rstudio.com/lesson-1.html
"Using Git with RStudio"; https://jennybc.github.io/2014-05-12-ubc/ubc-r/session03_git.html
"An introduction to Git and how to use it with RStudio"; http://r-bio.github.io/intro-git-rstudio/
